Title,clean_synopsis
Captain America: The Winter Soldier,cataclysmic event new york avenger steve rogers aka captain america living quietly washington c trying adjust modern world h e l colleague come attack steve becomes embroiled web intrigue threatens put world risk joining force black widow captain america struggle expose ever widening conspiracy fighting professional assassin sent silence every turn full scope villainous plot revealed captain america black widow enlist help new ally falcon however soon find unexpected formidable enemy winter soldier
Kung Fu Panda,valley peace threatened lazy po panda discovers destiny chosen one train become kung fu hero transforming unsleek slacker brave warrior easy master shifu furious five tigress crane mantis viper monkey give try
Amaran,heroic true story major mukund varadarajan indian army officer displayed extraordinary bravery counterterrorism mission kashmir shopian district film capture courage protecting nation devotion wife indhu rebecaa varghese
Independence Day,strange phenomenon surface around globe sky ignite terror race world major city extraordinary event unfold becomes increasingly clear force incredible magnitude arrived mission total annihilation fourth july weekend last hope stop destruction unlikely group people united fate unimaginable circumstance
Black Adam,nearly year bestowed almighty power egyptian god imprisoned quickly black adam freed earthly tomb ready unleash unique form justice modern world
Terminator: Dark Fate,decade sarah connor prevented judgment day lethal new terminator sent eliminate future leader resistance fight save mankind battle hardened sarah connor team unexpected ally enhanced super soldier stop deadliest terminator yet
Indiana Jones and the Dial of Destiny,finding new era approaching retirement indy wrestle fitting world seems outgrown tentacle familiar evil return form old rival indy must hat pick whip make sure ancient powerful artifact fall wrong hand
Star Wars: The Last Jedi,rey develops newly discovered ability guidance luke skywalker unsettled strength power meanwhile resistance prepares battle first order
Minions: The Rise of Gru,fanboy supervillain supergroup known vicious gru hatch plan become evil enough join backup follower minion
One Hundred and One Dalmatians,litter dalmatian puppy abducted minion cruella de vil parent must find us diabolical fashion statement
Tarzan,tarzan small orphan raised ape named kala since child believed family expedition jane porter rescued tarzan find human tarzan must make decision family belong
The Martian,manned mission mar astronaut mark watney presumed dead fierce storm left behind crew watney survived find stranded alone hostile planet meager supply must draw upon ingenuity wit spirit subsist find way signal earth alive
Mortal Engines,many thousand year future earth city roam globe huge wheel devouring struggle ever diminishing resource one massive traction city old london tom natsworthy unexpected encounter mysterious young woman wasteland change course life forever
Kingsman: The Golden Circle,attack kingsman headquarters take place new villain rise eggsy merlin forced work together american agency known statesman save world
Indiana Jones and the Temple of Doom,arriving india indiana jones asked desperate village find mystical stone agrees stumble upon secret cult plotting terrible plan catacomb ancient palace
The Goonies,young teen mikey walsh friend set quest find pirate one eyed willie treasure hope saving home demolition
Divergent,world divided faction based personality type tris learns classified divergent fit discovers plot destroy divergents tris mysterious four must find make divergents dangerous late
Captain Marvel,story follows carol danvers becomes one universe powerful hero earth caught middle galactic war two alien race set captain marvel new adventure previously unseen period history marvel cinematic universe
Never Say Never Again,james bond return secret agent battle evil organization spectre bond must defeat largo stolen two atomic warhead nuclear blackmail bond ally largo girlfriend willowy domino fall bond seek revenge
The Hunger Games,every year ruin north america nation panem force twelve district send teenage boy girl compete hunger game part twisted entertainment part government intimidation tactic hunger game nationally televised event tribute must fight one another one survivor remains pitted highly trained tribute prepared game entire life katniss forced rely upon sharp instinct well mentorship drunken former victor haymitch abernathy ever return home district katniss must make impossible choice arena weigh survival humanity life love world watching
The Amazing Spider-Man 2,peter parker life busy taking bad guy spider man spending time person love gwen stacy high school graduation cannot come quickly enough peter forgotten promise made gwen father protect staying away promise cannot keep thing change peter new villain electro emerges old friend harry osborn return peter uncovers new clue past
The Avengers,unexpected enemy emerges threatens global safety security nick fury director international peacekeeping agency known h e l find need team pull world back brink disaster spanning globe daring recruitment effort begin
Rambo: First Blood Part II,john rambo released prison government top secret covert mission last place earth want return jungle vietnam
Ice Age: Continental Drift,manny diego sid embark upon another adventure continent set adrift using iceberg ship encounter sea creature battle pirate explore new world
Sherlock Holmes,eccentric consulting detective sherlock holmes doctor john watson battle bring new nemesis unravel deadly plot could destroy england
Up,carl fredricksen spent entire life dreaming exploring globe experiencing life fullest age life seems passed twist fate persistent year old wilderness explorer named russell give new lease life
Paddington 2,paddington happily settled brown pick series odd job buy perfect present aunt lucy stolen
Fear Below,rag tag team diver attempting salvage sunken car river thwarted highly aggressive bull shark
The Price of Money: A Largo Winch Adventure,largo winch devastated kidnapping son realizes find responsible bankruptcy maybe see son
Bee Movie,barry b benson recent college graduate want life making honey decides sue human race learning exploitation bee hand mankind
Spider-Man: Homecoming,following event captain america civil war peter parker help mentor tony stark try balance life ordinary high school student queen new york city fighting crime superhero alter ego spider man new threat vulture emerges
Prometheus,team explorer discover clue origin mankind earth leading journey darkest corner universe must fight terrifying battle save future human race
The SpongeBob SquarePants Movie,trouble brewing bikini bottom someone stolen king neptune crown look like mr krab spongebob bos culprit though passed promotion dream spongebob stand bos along best pal patrick set treacherous mission shell city reclaim crown save mr krab life
Ice Age: Collision Course,set event continental drift scrat epic pursuit elusive acorn catapult outside earth accidentally set series cosmic event transform threaten planet save peril manny sid diego rest herd leave home embark quest full thrill spill high low laughter adventure traveling exotic new land location
Flushed Away,london high society mouse roddy flushed toilet sid common sewer rat hang madcap adventure deep sewer bowel ratropolis roddy meet resourceful rita rodent hating toad faithful thug spike whitey
Cruella,london amidst punk rock revolution young grifter named estella determined make name design befriends pair young thief appreciate appetite mischief together able build life london street one day estella flair fashion catch eye baroness von hellman fashion legend devastatingly chic terrifyingly haute relationship set motion course event revelation cause estella embrace wicked side become raucous fashionable revenge bent cruella
